score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
17251.000000;149;94;145.181181;93.787788
17722.000000;156;109;150.974975;98.256256
17569.000000;159;110;150.446446;97.328328
17598.000000;159;117;155.621622;100.519520
17976.000000;154;118;149.250250;98.944945
16274.000000;151;105;146.861862;89.869870
16655.000000;151;99;148.753754;93.255255
14134.000000;122;91;118.222222;78.272272
16244.000000;156;108;153.237237;97.961962
16105.000000;153;107;148.859860;90.843844
17799.000000;157;103;151.385385;97.958959
17378.000000;151;106;147.527528;93.439439
18301.000000;151;106;147.158158;95.709710
16570.000000;159;106;155.376376;98.472472
15846.000000;127;90;123.868869;80.548549
18504.000000;155;107;153.223223;100.835836
15560.000000;126;76;124.680681;78.555556
17347.000000;139;94;136.342342;88.313313
16586.000000;151;104;148.053053;91.986987
17960.000000;154;110;150.659660;101.867868
17236.000000;156;101;152.048048;96.613614
17209.000000;133;91;130.194194;85.723724
17431.000000;154;105;150.426426;96.487487
17720.000000;154;107;147.888889;95.342342
17619.000000;156;119;153.204204;104.213213
17918.000000;155;115;150.079079;97.189189
18480.000000;155;114;150.951952;101.170170
16853.000000;135;104;129.916917;85.212212
17573.000000;152;103;146.693694;94.294294
17658.000000;157;121;150.605606;97.959960
16904.000000;154;106;148.851852;92.612613
16034.000000;156;104;151.835836;91.070070
18106.000000;154;104;149.780781;99.152152
17381.000000;157;117;151.666667;100.549550
16872.000000;154;103;149.426426;94.292292
16803.000000;158;109;151.935936;96.001001
17561.000000;154;111;152.126126;95.409409
17236.000000;157;109;149.528529;93.842843
17671.000000;157;106;153.654655;100.089089
18295.000000;152;110;144.852853;94.229229
18284.000000;157;111;152.672673;103.747748
18144.000000;149;101;144.703704;94.034034
17261.000000;157;118;153.494494;101.608609
15233.000000;130;95;126.555556;85.569570
17297.000000;149;98;147.273273;93.254254
15788.000000;154;108;150.778779;90.660661
16796.000000;151;95;149.904905;88.948949
16295.000000;146;101;144.422422;88.268268
17364.000000;154;98;152.319319;95.954955
17529.000000;154;119;150.660661;100.458458
17591.000000;155;113;151.186186;101.750751
17080.000000;157;105;153.688689;97.611612
17201.000000;157;115;151.608609;99.616617
17064.000000;156;109;152.017017;95.903904
17539.000000;151;102;148.501502;95.819820
17144.000000;154;102;148.320320;94.045045
17328.000000;156;108;152.183183;98.264264
17368.000000;152;112;149.740741;99.379379
16636.000000;157;117;153.973974;96.162162
16254.000000;158;104;154.814815;96.725726
14244.000000;130;87;124.541542;77.765766
17216.000000;152;106;148.008008;95.067067
16619.000000;159;115;154.930931;100.362362
17471.000000;148;100;143.742743;92.273273
17611.000000;155;108;150.569570;98.702703
18176.000000;152;112;147.876877;98.172172
17904.000000;157;107;150.008008;96.889890
17080.000000;152;104;149.215215;96.826827
16358.000000;129;91;123.502503;84.267267
17403.000000;151;107;148.465465;94.742743
16638.000000;157;105;151.687688;94.090090
16671.000000;160;112;155.446446;98.557558
16620.000000;160;113;155.538539;99.572573
16729.000000;155;111;151.123123;94.951952
17802.000000;150;107;144.635636;93.990991
15390.000000;132;90;131.170170;83.598599
17758.000000;151;108;148.399399;99.531532
16605.000000;159;107;153.969970;93.782783
18099.000000;149;102;145.227227;96.837838
17270.000000;157;111;151.835836;98.662663
17787.000000;151;115;148.580581;98.406406
16895.000000;151;101;146.817818;92.849850
16627.000000;154;108;149.500501;95.629630
16512.000000;158;117;155.330330;101.667668
18890.000000;153;113;148.673674;100.764765
17112.000000;148;96;144.629630;89.796797
17221.000000;157;113;153.380380;96.652653
16343.000000;150;105;146.444444;92.842843
17537.000000;154;117;149.305305;96.294294
17479.000000;149;106;145.198198;91.756757
17224.000000;153;104;149.351351;95.930931
17308.000000;154;106;149.363363;96.342342
17179.000000;144;100;141.484484;89.641642
16931.000000;147;92;146.207207;90.756757
17241.000000;144;104;140.361361;92.358358
17558.000000;151;104;146.198198;92.340340
17838.000000;155;106;151.645646;100.542543
17843.000000;146;105;143.933934;93.766767
15136.000000;117;86;114.620621;77.014014
17078.000000;151;97;148.849850;96.398398
15563.000000;121;88;119.961962;76.577578
17240.000000;156;117;152.354354;99.890891
11082.000000;107;77;106.844845;67.784785
17137.000000;151;105;147.379379;92.475475
17255.000000;160;118;154.100100;99.641642
15745.000000;152;95;149.155155;90.261261
17385.000000;153;101;150.925926;98.177177
