score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
5845.000000;139;92;136.222222;88.402402
4848.000000;150;105;143.930931;92.791792
5651.000000;142;96;138.829830;92.957958
5562.000000;140;98;135.793794;89.618619
6259.000000;130;90;125.756757;83.445445
6553.000000;145;113;136.833834;91.454454
6367.000000;148;114;140.127127;92.463463
6053.000000;142;99;135.189189;89.614615
6192.000000;130;84;128.527528;82.943944
6679.000000;145;102;135.358358;87.971972
6342.000000;141;93;136.148148;90.207207
5523.000000;145;105;138.516517;91.863864
6125.000000;145;105;139.736737;92.594595
7264.000000;148;119;140.454454;98.341341
5165.000000;141;107;134.814815;90.363363
5941.000000;141;93;133.532533;87.141141
6572.000000;145;109;134.437437;87.139139
5889.000000;150;111;142.142142;94.573574
4264.000000;144;96;140.398398;87.882883
6782.000000;146;101;136.208208;88.482482
6831.000000;143;98;138.792793;91.639640
5842.000000;143;101;135.421421;90.009009
7223.000000;143;108;132.716717;90.502503
6232.000000;148;100;137.978979;91.027027
2952.000000;42;31;42.508509;29.110110
7066.000000;144;103;137.415415;93.120120
6000.000000;146;109;138.742743;92.818819
5782.000000;142;100;135.887888;88.467467
6274.000000;145;107;137.481481;90.708709
5158.000000;142;90;136.643644;84.666667
5369.000000;142;101;134.916917;87.198198
5485.000000;142;100;136.429429;89.040040
6628.000000;137;94;132.196196;87.649650
5115.000000;142;93;137.011011;88.068068
5035.000000;117;80;114.592593;71.856857
5628.000000;143;94;138.678679;90.318318
5553.000000;144;104;137.678679;89.986987
6122.000000;149;100;139.415415;89.319319
3577.000000;142;85;140.669670;83.744745
5419.000000;138;90;132.302302;84.565566
6237.000000;145;101;136.356356;89.091091
5527.000000;144;99;137.478478;89.335335
6062.000000;132;93;129.209209;85.192192
5355.000000;127;89;122.854855;77.225225
5928.000000;144;104;137.856857;91.350350
5934.000000;146;110;138.308308;91.384384
5476.000000;145;101;137.859860;87.478478
6125.000000;145;102;137.607608;91.567568
6544.000000;132;94;128.500501;82.667668
6276.000000;147;106;139.641642;92.767768
6202.000000;139;96;136.319319;92.292292
5473.000000;146;97;139.798799;91.606607
5308.000000;148;111;140.574575;87.890891
6105.000000;138;94;134.075075;88.543544
6716.000000;149;112;141.084084;94.978979
4871.000000;143;89;140.248248;89.399399
4985.000000;142;101;137.002002;88.666667
5550.000000;145;102;140.705706;89.920921
5191.000000;145;107;139.242242;91.075075
5965.000000;148;102;141.139139;93.317317
5680.000000;136;93;131.670671;86.934935
6601.000000;146;103;141.046046;95.674675
6269.000000;150;110;140.785786;95.150150
5627.000000;147;96;139.637638;88.901902
6358.000000;139;96;135.907908;87.705706
6223.000000;132;100;124.877878;82.690691
5353.000000;145;105;137.700701;86.412412
5745.000000;143;105;136.869870;87.895896
6275.000000;144;102;139.417417;94.419419
5456.000000;146;107;138.811812;90.049049
6386.000000;142;105;136.828829;92.321321
3586.000000;50;33;48.426426;31.750751
548.000000;10;8;9.138138;4.673674
6096.000000;147;109;134.336336;84.544545
6771.000000;150;109;139.829830;91.554555
7015.000000;128;87;125.522523;83.849850
5902.000000;144;102;138.339339;93.546547
5765.000000;138;94;135.253253;88.553554
3100.000000;73;49;70.280280;42.594595
5285.000000;138;94;136.798799;89.758759
5801.000000;125;90;122.916917;81.255255
5611.000000;144;97;138.901902;91.660661
6541.000000;146;108;136.817818;89.397397
4342.000000;91;66;87.669670;55.414414
5423.000000;138;88;135.163163;89.069069
5343.000000;142;99;135.951952;88.440440
4713.000000;143;94;138.778779;89.532533
4755.000000;121;72;121.973974;74.909910
4450.000000;144;94;139.780781;86.763764
5990.000000;148;106;141.149149;93.882883
6322.000000;140;89;137.104104;87.785786
4957.000000;104;64;103.168168;61.528529
5103.000000;140;94;136.814815;86.314314
6165.000000;134;93;126.133133;82.545546
